Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,Author Followers,Author Friends,Author Favorites,Author Statuses,Author Bio,Author Image,Author Location,Author Verified,Tweet Source,Status URL,
Intuit,Intuit,1883587493846724855,0,0,0,no,1/26/25 18:47,"@upmkt5 I'd be more than happy to take a look into this for you, Mark. How long has the program not been tracking expenses? ^Kyle",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1883587493846724855,https://www.twitter.com/Intuit
Intuit,Intuit,1883874478884798788,0,0,0,no,1/27/25 13:47,"@bbo_wolfe Thank you for reaching out. I appreciate you sharing your concerns, and would love the opportunity to learn more about your situation. I'm here to help and ensure that all your issues are escalated appropriately. Please feel free to send me a DM at your earliest convenience.",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1883874478884798788,https://www.twitter.com/Intuit
Intuit,Intuit,1883901695736041559,0,0,0,no,1/27/25 15:35,"@ls1406746768 I appreciate you bringing this to my attention. This isn't the impression I want to leave you with. When you have time, please DM me your company name and email address. I'd be glad to take a closer look. ^Monica https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1883901695736041559,https://www.twitter.com/Intuit
Intuit,Intuit,1884357172244660321,0,0,0,no,1/28/25 21:45,"@ChassidyRu7132 I’m glad you reached out. I’d be happy to help. If you could DM me your email address, I’ll look into this further for you. ^James https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1884357172244660321,https://www.twitter.com/Intuit
Intuit,Intuit,1884654166154633681,0,0,0,no,1/29/25 17:25,"@glombardo Thank you for reaching out. I'm here to assist you with the payment issue you're experiencing. Could you please share your company information and email address in a DM below? With those details, I can conduct further research and provide you with the help you need. ^Susan https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1884654166154633681,https://www.twitter.com/Intuit
Intuit,Intuit,1884706677171315157,0,0,0,no,1/29/25 20:54,"@James_taxpro_EA I've responded to your DM regarding the missing employee list in your QB account, James. To keep everything streamlined, I'll continue assisting you from there. Thank you. ^Taylor",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1884706677171315157,https://www.twitter.com/Intuit
Intuit,Intuit,1885426051733741887,0,0,0,no,1/31/25 20:32,"@JCHudsonMedia Thank you for reaching out regarding your experience with our billing and customer service. I'd like the opportunity to assist you with your concerns. Could you please send me a DM with your name, company name, and the email address associated with your account? ^Timmi https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1885426051733741887,https://www.twitter.com/Intuit
Intuit,Intuit,1886438877797458002,0,1,2,no,2/3/25 15:37,"@keri48866717493 I don't want you to be left with that impression. Allow me to help turn things around here. When you have time, please DM me directly with your email address so I can get your case escalated along the proper channels. I look forward to working with you there. ^Monica https://t.co/pMI4QGWZIM",80793,27,2,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1886438877797458002,https://www.twitter.com/Intuit
Intuit,Intuit,1887607321087648227,0,0,0,no,2/6/25 21:00,@bonecage I appreciate you taking the time to reach out about your recent customer service experience with our team. I’d like to learn more about what’s happening so I can better assist you. Could you please DM me your name and email address so I can locate your account? ^Timmi https://t.co/pMI4QGWZIM,80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1887607321087648227,https://www.twitter.com/Intuit
Intuit,Intuit,1887628765888717156,0,1,0,no,2/6/25 22:25,"@King2Hal I’ve responded to your DM. My team and I are here to assist you, so if you have any questions, let me know. ^Timmi",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1887628765888717156,https://www.twitter.com/Intuit
Intuit,Intuit,1887856692161048695,0,0,0,no,2/7/25 13:31,"@WCunningham I'd like to take a closer look into what's going on with your payroll account, William. If you'll join me in a DM, I'll gather some additional account information. ^Chad https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1887856692161048695,https://www.twitter.com/Intuit
Intuit,Intuit,1887872980342145377,0,0,0,no,2/7/25 14:36,@bonecage I wanted to reach out again today about your recent experience with our team and see if you need any assistance. Please let me know if I can help. You can reach me through DM ^Timmi https://t.co/pMI4QGWZIM,80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1887872980342145377,https://www.twitter.com/Intuit
Intuit,Intuit,1888221406095393160,0,1,0,no,2/8/25 13:40,@WCunningham I'm checking back in to see if you need any assistance. Feel free to reach out here anytime with questions or concerns. ^Chad,80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1888221406095393160,https://www.twitter.com/Intuit
Intuit,Intuit,1888622430555681115,0,0,0,no,2/9/25 16:14,"@fprefect121 Thank you for reaching out, Rick. I’d like to learn more about your situation. Could you please send me a DM with your email address and let me know which product you’re using? ^Kailyn https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1888622430555681115,https://www.twitter.com/Intuit
Intuit,Intuit,1888949458098114883,0,0,0,no,2/10/25 13:53,@WCunningham I'd be happy to help you explore options on your Payroll Setup. Please DM me a bit about what's going on to get started. ^Alex https://t.co/pMI4QGWZIM,80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1888949458098114883,https://www.twitter.com/Intuit
Intuit,Intuit,1888949832972431677,0,0,0,no,2/10/25 13:55,"@fprefect121 I hope your day is off to a good start, Rick. I'm still here if you need assistance with your Intuit product. ^Kailyn https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1888949832972431677,https://www.twitter.com/Intuit
Intuit,Intuit,1889735880690245855,0,0,0,no,2/12/25 17:58,@richgjaci I’ve received your DM and look forward to continuing our conversation there. Thank you. ^James,80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1889735880690245855,https://www.twitter.com/Intuit
Intuit,Intuit,1891615929274102228,0,0,0,no,2/17/25 22:29,"@WCunningham Good evening, William Cunningham. I wanted to follow up with you and see if you still needed support with your Payroll. I'm only a message away if you need assistance. ^Alex",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1891615929274102228,https://www.twitter.com/Intuit
Intuit,Intuit,1892009282121630119,0,1,0,no,2/19/25 0:32,"@ManijehM I’m thrilled to hear that you’re a happy TurboTax customer, but I’m concerned to learn that you’re encountering issues with miscalculations and tax credits while using the software, Manijeh. Your experience is important, and I want to ensure that your issues are addressed without https://t.co/pMI4QGWZIM",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1892009282121630119,https://www.twitter.com/Intuit
Intuit,Intuit,1892251452305002561,0,1,0,no,2/19/25 16:34,"@63driscoll Hi there, Scott. To elect in stop receiving calls, please visit this link and follow the steps listed, https://t.co/kERko6mn0b. ^Azariah",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1892251452305002561,https://www.twitter.com/Intuit
Intuit,Intuit,1892260534097236293,0,0,0,no,2/19/25 17:10,"@63driscoll I understand, however to fully remove yourself from the listing I'd suggest following the steps above. ^Azariah",80793,27,0,29423,"The platform that connects you to the money you deserve with less work and achieve financial confidence with TurboTax, Credit Karma, QuickBooks, and Mailchimp.",https://pbs.twimg.com/profile_images/1562846549515780096/W9Ql5goj_normal.png,"Mountain View, CA",no,Khoros CX,https://www.twitter.com/Intuit/status/1892260534097236293,https://www.twitter.com/Intuit
